--------------------------------------------------------------------------------
Rule Name                                                   static    livecheck 
--------------------------------------------------------------------------------
aws-athena-workgroup-has-required-tags                      supported           
aws-cloudformation-stack-exists                             supported supported 
aws-cloudfront-has-logging-enabled                          supported supported 
aws-cloudtrail-ensure-log-file-validation                   supported supported 
aws-cloudtrail-ensure-logging-is-enabled                    supported supported 
aws-cloudtrail-ensure-s3-bucket-acl-type                    supported supported 
aws-cloudtrail-is-enabled-in-all-regions                    supported supported 
aws-cloudtrail-logs-are-encrypted                           supported supported 
aws-cloudtrail-logs-lifecycle-delete                        supported supported 
aws-cloudtrail-logs-lifecycle-migrate-to-glacier            supported supported 
aws-cloudtrail-s3-bucket-deny-delete                                  supported 
aws-cloudtrail-trails-are-integrated-with-cloudwatch-lo               supported 
aws-cloudwatch-alarm-exists-for-aws-config-changes                    supported 
aws-cloudwatch-alarm-exists-for-changes-to-nacl                       supported 
aws-cloudwatch-alarm-exists-for-changes-to-network-g...               supported 
aws-cloudwatch-alarm-exists-for-cloudtrail-configura...               supported 
aws-cloudwatch-alarm-exists-for-disable-or-schedule-...               supported 
aws-cloudwatch-alarm-exists-for-iam-access-key-creat...               supported 
aws-cloudwatch-alarm-exists-for-iam-policy-changes                    supported 
aws-cloudwatch-alarm-exists-for-iam-user-creation                     supported 
aws-cloudwatch-alarm-exists-for-management-console-a...               supported 
aws-cloudwatch-alarm-exists-for-route-table-changes                   supported 
aws-cloudwatch-alarm-exists-for-s3-bucket-policy-cha...               supported 
aws-cloudwatch-alarm-exists-for-security-group-changes                supported 
aws-cloudwatch-alarm-exists-for-sign-in-wo-mfa                        supported 
aws-cloudwatch-alarm-exists-for-unauthorized-api-calls                supported 
aws-cloudwatch-alarm-exists-for-usage-of-root-account                 supported 
aws-cloudwatch-alarm-exists-for-vpc-changes                           supported 
aws-cloudwatch-logs-exports-to-s3-bucket                              supported 
aws-cloudwatch-logs-are-enabled                                       supported 
aws-config-service-ensure-cloudtrail-rule-exists                      supported 
aws-config-service-sends-to-sns                                       supported 
aws-config-service-specified-rules-are-enabled                        supported 
aws-config-service-is-enabled-in-current-region                       supported 
aws-documentdb-instance-has-required-tags                   supported           
aws-dynamodb-encryption                                     supported supported 
aws-dynamodb-has-required-tags                              supported           
aws-dynamodb-point-in-time-recovery                         supported supported 
aws-ebs-volume-encryption                                   supported supported 
aws-ec2-ami-includes-sql-server                             supported supported 
aws-ec2-customer-gateway-has-approved-ip                    supported supported 
aws-ec2-ensure-instance-profile                             supported supported 
aws-ec2-has-allowed-keypair                                 supported supported 
aws-ec2-has-auto-parking-tag                                supported supported 
aws-ec2-instance-tag-exists                                 supported supported 
aws-ec2-instance-tag-format                                 supported supported 
aws-ec2-instances-single-protocol                           supported supported 
aws-ec2-key-pair-exists                                     supported supported 
aws-ec2-ami-is-not-windows                                  supported supported 
